hb01	hb02	hb03	hb04	hb05	hb06	hb07	hb08	hb09	hb10	hb11	hb12	hb13	hb14	hb15	hb16	hb17	hb18	P01	P02	P03	P04	P05	P06	P07	P08	P09	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19	P20	P21	P22	P23	R01	R02	R03
11	15	6	0	0	2	6	3	10	8	12	10	7	5	14	10	10	19	12	3	0	0	2	0	0	4	0	6	2	0	2	2	13	0	4	0	2	5	0	5	0	12	0	12
13	4	6	3	2	4	2	0	5	7	5	5	0	4	4	0	5	4	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	2	2	3	0	0	2	5	0	3	0	0
2	0	0	0	0	2	0	0	0	0	0	6	4	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0	2	6	0	2	0	0	2	4	6	7	0	3	0	4	2	7	0	0	0	4	2	0	4	2	0	3	0	3	0	0	4	2	6	0	2	3	4	8	0	0	0	11
20	5	0	13	13	8	9	11	15	22	0	11	14	17	16	13	21	25	0	0	0	5	2	0	0	0	0	0	0	2	0	3	12	2	16	8	0	3	0	0	0	12	3	8
11	3	6	3	3	5	4	6	0	4	3	13	3	10	9	10	9	12	0	0	0	0	0	3	0	3	0	3	0	2	2	2	12	5	0	2	0	0	0	4	0	11	3	2
3	0	0	3	0	2	0	7	4	4	0	2	0	0	0	0	0	11	4	0	0	3	0	2	2	13	4	6	0	6	4	10	2	3	4	10	3	0	6	3	3	3	6	11
5	6	5	6	14	4	0	7	5	3	0	7	3	6	11	11	4	14	0	0	0	0	0	0	0	4	0	0	0	0	0	0	8	0	4	0	0	0	0	0	0	4	0	0
5	7	6	6	11	5	5	12	9	2	0	2	3	5	9	0	9	23	4	0	0	3	0	2	3	8	0	0	0	6	5	7	7	0	9	11	6	0	0	2	0	15	0	11
6	6	2	6	0	0	0	0	5	7	3	5	3	5	4	3	6	4	3	0	0	0	0	0	0	12	0	2	0	0	2	2	13	9	3	0	2	0	0	0	0	4	0	5
