,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23
mesenchymal,-0.820233318340295,-0.05344920152045,0.947615945673318,0.103765608757469,-0.469192064325115,-0.368171152314823,0.180051224948321,-0.59584474063038,0.816125939907153,0.903100295305881,0.454953688538087,0.945705873058306,-0.506403870312347,0.7568406359756,-0.849202786871416,0.077852520739041,-0.568441747735186,-0.44210439668621,-0.238830120442194,0.774328754410295,-0.440496091477836,-0.633057668350384,0.437267395739441
classical,0.899860730797742,1.1407571595408,-0.324737066148351,0.304427641683022,-0.237795098644732,-0.781393709426181,1.03107437825081,-0.76028475682264,0.076541394301761,-0.555907416752934,-0.681376534299544,-0.599050298825723,-0.575000228276539,0.025257757072354,-0.09349660107502,-0.3384794702631,-0.31853211838883,1.03822591961445,0.018950652855209,-0.56817132618523,1.57251648472191,0.197774800476149,-0.116634650179612
neural,-0.241128547295068,-0.512178711258617,-0.585087070424359,0.004015231069753,-0.363158111313691,0.870869513691732,-0.650617928298243,1.42426023464579,-0.615599449290167,-0.362953584472171,-0.347938701180181,-0.616332303777027,-0.137567384398734,-0.69707357747103,1.13956975777273,-0.562149039712462,1.4521469264303,-0.432862598118264,-0.234800655014126,-0.053452597329448,-0.438990094648079,0.774719705530614,-0.239493442879534
proneural,0.898488226746619,-0.264007133948198,-0.626144105503485,-0.431316818913012,1.40383381927844,0.248765579072836,-0.400259773774927,-0.034991742017257,-0.705795037591528,-0.618465129664824,0.215486115729686,-0.357913518335876,1.48366858921622,-0.469196683803427,0.16375376161336,0.808152570318721,-0.48132506928601,0.376658759269615,0.656192087540797,-0.754710455311778,-0.064115141049106,-0.013555876265201,-0.352174434389935
